Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,40.02,40.29,39.70,39.88,2926900,39.88
2013-12-30,40.26,40.26,39.32,40.01,3749900,40.01
2013-12-27,41.02,41.24,40.06,40.17,2729700,40.17
2013-12-26,40.24,41.17,40.24,41.04,3396600,41.04
2013-12-24,40.52,40.74,40.07,40.22,1520000,40.22
2013-12-23,39.76,40.74,39.58,40.61,4901100,40.61
2013-12-20,41.42,41.45,39.64,39.66,10027900,39.66
2013-12-19,42.00,42.00,41.20,41.35,3010600,41.35
2013-12-18,41.63,42.21,40.96,41.96,4616000,41.96
2013-12-17,41.64,41.68,40.84,41.22,3630700,41.22
2013-12-16,40.86,41.89,40.71,41.73,4278500,41.73
2013-12-13,40.38,41.25,40.38,40.51,3951400,40.51
2013-12-12,40.51,41.04,40.00,40.23,4934600,40.23
2013-12-11,41.36,41.49,40.26,40.51,3279000,40.51
2013-12-10,41.42,41.93,41.16,41.54,2486400,41.54
2013-12-09,41.07,41.87,41.07,41.36,4514500,41.36
2013-12-06,41.79,42.40,40.89,41.05,5002600,41.05
2013-12-05,42.57,43.19,41.54,41.60,5397400,41.43
2013-12-04,42.00,43.00,41.60,42.80,6631600,42.63
2013-12-03,40.84,42.01,40.32,42.00,6307000,41.83
2013-12-02,40.59,41.92,40.57,41.08,6429000,40.91
2013-11-29,40.19,40.60,39.82,40.55,4284900,40.38
2013-11-27,39.65,39.70,39.27,39.61,3959300,39.45
2013-11-26,39.92,40.10,39.23,39.62,7039900,39.46
2013-11-25,40.01,40.03,39.55,39.73,4057100,39.57
2013-11-22,39.28,39.49,39.10,39.37,4832400,39.21
2013-11-21,38.96,39.51,37.91,39.07,9749000,38.91
2013-11-20,39.01,39.75,38.45,38.71,11858000,38.55
2013-11-19,40.72,41.11,38.42,38.78,33161300,38.62
2013-11-18,43.94,44.35,43.21,43.56,7235100,43.38
2013-11-15,43.42,43.94,43.32,43.69,4922100,43.51
2013-11-14,43.93,44.10,42.92,43.33,5966800,43.15
2013-11-13,43.73,44.66,43.66,43.99,5376400,43.81
2013-11-12,44.17,44.50,43.54,43.77,3472400,43.59
2013-11-11,43.44,44.34,43.10,44.33,6906800,44.15
2013-11-08,40.85,42.41,40.85,42.41,4150600,42.24
2013-11-07,42.00,42.27,40.87,40.89,6137000,40.72
2013-11-06,44.13,44.23,41.47,41.71,9488200,41.54
2013-11-05,43.26,44.26,43.14,44.06,4000700,43.88
2013-11-04,43.03,43.45,43.01,43.28,3277000,43.10
2013-11-01,43.37,43.42,42.70,42.93,3452800,42.75
2013-10-31,42.46,43.28,41.81,42.80,3416300,42.63
2013-10-30,43.06,43.34,42.40,42.73,2982000,42.56
2013-10-29,42.66,43.00,42.11,42.92,4255600,42.74
2013-10-28,43.01,43.85,42.74,42.87,3817500,42.69
2013-10-25,42.85,43.70,42.48,42.77,11556600,42.60
2013-10-24,42.66,43.15,42.33,42.74,3008900,42.57
2013-10-23,42.78,43.09,42.31,42.55,4283300,42.38
2013-10-22,42.92,43.50,42.58,43.08,4254700,42.90
2013-10-21,43.01,43.11,42.50,42.81,3193700,42.64
2013-10-18,42.96,43.27,42.38,42.97,5994600,42.79
2013-10-17,41.77,42.96,41.60,42.82,8142600,42.65
2013-10-16,41.10,42.07,40.97,41.60,9621900,41.43
2013-10-15,39.85,41.46,39.71,40.62,12582900,40.45
2013-10-14,38.98,39.66,38.80,39.61,4940400,39.45
2013-10-11,38.75,39.64,38.67,39.26,5841300,39.10
2013-10-10,37.75,39.30,37.75,39.00,11496100,38.84
2013-10-09,35.72,36.56,34.88,36.26,5336900,36.11
2013-10-08,37.10,37.61,35.57,35.67,6941300,35.52
2013-10-07,37.71,37.90,37.00,37.01,3077600,36.86
2013-10-04,37.69,38.45,37.30,38.15,3311700,37.99
2013-10-03,37.81,37.91,36.86,37.69,3413700,37.54
2013-10-02,37.62,37.87,37.20,37.66,2990700,37.51
2013-10-01,37.56,38.24,37.53,37.95,3607200,37.79
2013-09-30,37.27,37.75,37.09,37.50,3827000,37.35
2013-09-27,38.33,38.64,37.81,37.98,2838800,37.82
2013-09-26,38.21,38.97,38.20,38.53,2808500,38.37
2013-09-25,38.36,38.55,37.45,38.00,6721600,37.84
2013-09-24,38.90,39.13,38.28,38.30,5546700,38.14
2013-09-23,38.52,39.16,38.39,38.89,5612700,38.73
2013-09-20,39.09,39.20,38.30,38.30,6229900,38.14
2013-09-19,39.22,39.28,38.70,39.10,5205400,38.94
2013-09-18,38.87,39.19,38.23,39.05,3955100,38.89
2013-09-17,38.55,39.14,38.41,38.95,4406000,38.79
2013-09-16,38.71,39.07,38.13,38.32,4620900,38.16
2013-09-13,37.65,38.56,37.49,38.28,4471800,38.12
2013-09-12,37.93,37.96,37.24,37.63,3224100,37.48
2013-09-11,37.82,38.00,37.34,37.90,3949100,37.75
2013-09-10,37.42,37.92,37.01,37.92,4761900,37.77
2013-09-09,37.22,37.72,37.02,37.16,4065700,37.01
2013-09-06,37.36,37.44,36.69,37.02,5925000,36.87
2013-09-05,37.20,37.59,37.11,37.49,5589800,37.17
2013-09-04,37.08,37.98,36.88,37.14,9301900,36.82
2013-09-03,36.44,37.00,36.44,36.99,5985900,36.67
2013-08-30,36.39,36.45,35.90,36.00,4936300,35.69
2013-08-29,35.80,36.65,35.62,36.35,6188500,36.04
2013-08-28,35.06,36.14,34.92,35.81,7196800,35.50
2013-08-27,35.17,35.44,34.75,35.02,7268200,34.72
2013-08-26,35.09,36.13,34.89,35.81,5116800,35.50
2013-08-23,34.96,35.68,34.82,35.08,7032700,34.78
2013-08-22,33.95,35.44,33.95,35.20,8292000,34.90
2013-08-21,34.66,34.91,33.56,33.75,11007800,33.46
2013-08-20,34.18,34.82,33.01,34.80,31447700,34.50
2013-08-19,30.47,31.23,30.40,30.73,5688900,30.47
2013-08-16,30.74,31.36,30.33,30.37,5003400,30.11
2013-08-15,31.17,31.50,30.58,30.81,5009300,30.54
2013-08-14,30.94,32.17,30.71,31.67,7030100,31.40
2013-08-13,30.88,31.01,30.35,30.86,3652500,30.59
2013-08-12,30.46,31.60,30.44,30.86,4242400,30.59
2013-08-09,30.97,31.17,30.41,30.63,2797700,30.37
2013-08-08,30.28,31.42,30.16,31.03,4407900,30.76
